,year,nOct,nNov,nDec,nJan,nFeb,nMar,nApr,nMay,nMean,eOct,eNov,eDec,eJan,eFeb,eMar,eApr,eMay,eMean,Area,Production,Yield,LAI,Rainfall
0,2000,0.253092408,0.205477343,0.214600164,0.231617781,0.225766536,0.201072162,0.166901315,0.146277654,0.20560067,0.168544547,0.132783356,0.138433832,0.150868969,0.151159435,0.137190763,0.114985743,0.102854421,0.137102633,27.49,76.37,2778,0.291067,37.80943
1,2001,0.252049579,0.220224717,0.22780963,0.250651431,0.248579278,0.230733962,0.169408334,0.146951121,0.218301006,0.165846484,0.140879029,0.145380651,0.16355985,0.167072437,0.158621707,0.118505162,0.103026761,0.14536151,25.73,69.68,2708,0.291067,45.907669
2,2002,0.200088224,0.178285047,0.187110809,0.206101168,0.207492282,0.194706458,0.161110413,0.138827615,0.184215252,0.134577379,0.115123472,0.120288345,0.131458798,0.139568162,0.1341992,0.111804546,0.097714156,0.123091757,26.34,72.77,2762,0.291067,20.676182
3,2003,0.299165494,0.242214887,0.252125517,0.266659765,0.261026795,0.227541866,0.168697941,0.1597929,0.234653145,0.197742404,0.158817801,0.163915109,0.173033446,0.172934322,0.154693903,0.117378372,0.110974489,0.156186231,25.2,65.76,2610,0.370912,48.679591
4,2004,0.267995246,0.233796807,0.252086741,0.263572591,0.252415418,0.225390714,0.164786771,0.154183925,0.226778527,0.172130693,0.148147091,0.161418251,0.171633277,0.167870304,0.151651897,0.112510338,0.106999793,0.149045205,26.59,72.16,2713,0.407855,41.511458
5,2005,0.296143972,0.238595184,0.244888414,0.255161945,0.245132733,0.210754544,0.164522072,0.147785013,0.225372985,0.196240112,0.154161855,0.158483071,0.168875511,0.165705533,0.141588135,0.112438627,0.102568822,0.150007708,26.38,68.64,2602,0.425636,43.397656
6,2006,0.270447976,0.241069865,0.257105928,0.272435373,0.267723664,0.234963364,0.18565242,0.162514736,0.236489166,0.178645111,0.154648824,0.165960611,0.180417304,0.175351651,0.154543047,0.126177874,0.113756139,0.15618757,26.48,69.35,2619,0.40617,50.427344
7,2007,0.288058211,0.232086503,0.246437353,0.260172082,0.2526931,0.227079605,0.173423247,0.158299134,0.229781155,0.192509994,0.150544562,0.158858854,0.170309354,0.171186049,0.154262222,0.118173467,0.109260515,0.153138127,27.99,75.81,2708,0.424946,40.602344
8,2008,0.269547944,0.241286179,0.26169445,0.272595936,0.252552462,0.215984997,0.166816648,0.151305329,0.228972993,0.175850463,0.153952112,0.16666487,0.176006122,0.167223169,0.146345423,0.112947713,0.103940448,0.15036629,28.04,78.57,2802,0.423478,44.523698
9,2009,0.241484695,0.217260806,0.240780222,0.258629074,0.241380173,0.21369693,0.155143232,0.143590695,0.213995728,0.160011425,0.136782566,0.153860518,0.166152525,0.156617545,0.140965236,0.107092729,0.099540658,0.1401279,27.75,80.68,2907,0.382237,31.496094
10,2010,0.347759922,0.281048998,0.289970803,0.311159826,0.321874525,0.290266731,0.195418241,0.170373669,0.275984089,0.234517807,0.178118662,0.174738117,0.193227377,0.210833137,0.192945492,0.132224712,0.116752341,0.179169706,28.46,80.8,2839,0.436381,54.477865
11,2011,0.358902447,0.285062664,0.291292292,0.30173141,0.290199821,0.25072604,0.199267223,0.179268296,0.269556274,0.238074173,0.186097599,0.188086936,0.197717488,0.193210366,0.172370396,0.138457175,0.123924408,0.179742318,29.07,86.87,2988,0.533877,58.005729
12,2012,0.367664944,0.272725679,0.281011584,0.296440051,0.308570391,0.269048352,0.207534774,0.176049899,0.272380709,0.247462963,0.175555344,0.178690051,0.193958151,0.20875704,0.178599535,0.139925456,0.121833364,0.180597738,29.86,94.88,3177,0.493898,50.681183
13,2013,0.362340512,0.2940619,0.307282357,0.32562887,0.333381867,0.294807701,0.21073209,0.184954134,0.289148679,0.230249288,0.183803193,0.193480627,0.206723326,0.220139064,0.198686308,0.139919406,0.124240505,0.187155215,30,93.51,3117,0.533015,59.915054
14,2014,0.328845371,0.269317974,0.282556824,0.309646693,0.306329735,0.268686728,0.216662962,0.183002255,0.270631068,0.216926086,0.172717487,0.18129881,0.198640148,0.200873846,0.175149178,0.143103487,0.123294432,0.176500434,30.47,95.85,3146,0.540132,48.568548
15,2015,0.306281122,0.26186658,0.279288886,0.302397382,0.302204876,0.245995988,0.190549368,0.169613948,0.257274769,0.201990746,0.166468365,0.178365375,0.19808431,0.196750705,0.159325499,0.128135252,0.116664107,0.168223045,31.47,86.53,2750,0.494748,44.641927
16,2016,0.340429767,0.278652248,0.301451463,0.333207369,0.319128354,0.271420573,0.188890217,0.178282055,0.276432756,0.21944015,0.174134378,0.187940924,0.212891242,0.207387015,0.178837989,0.126337857,0.118861499,0.178228882,30.42,92.29,3034,0.503689,70.981771
17,2017,0.295351383,0.258308647,0.28633605,0.30851373,0.29508879,0.255235369,0.190960901,0.172175103,0.257746247,0.193262778,0.163753267,0.178359139,0.198721181,0.195729293,0.170544181,0.128511496,0.119394264,0.16853445,30.79,98.51,3200,0.506958,59.803906
18,2018,0.3312338,0.262934688,0.282243242,0.302005914,0.306453273,0.224516741,0.201049981,0.17323376,0.260458925,0.21599816,0.163818296,0.177962318,0.195163274,0.207442606,0.149310664,0.134160597,0.115594114,0.169931254,29.58,99.7,3371,0.495558,49.120235
19,2019,0.384005833,0.304001187,0.321683788,0.347626764,0.348019844,0.310132611,0.218668708,0.187033652,0.302646548,0.241450708,0.183680655,0.191645192,0.218316202,0.229262374,0.206147714,0.141835394,0.121916126,0.191781796,28.36777778,82.35333333,2891.833333,0.54967,49.120235
