,File Name,Date,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,MOD15A2H_006_Lai_500m_doy2001033_aid0001,2001-02-02,0.2,6.8,0.6887958000000001,0.6541354,0.42789309999999997,0.8,1.5,0.5,0.2,0.3,KARAULI,2001,2,2,61886,118884,1.9210160617910352
1,MOD15A2H_006_Lai_500m_doy2002033_aid0001,2002-02-02,0.2,6.6,0.6543574000000001,0.5336721999999999,0.284806,0.8,1.5,0.5,0.2,0.3,KARAULI,2002,2,2,55324,174640,3.1566770298604583
2,MOD15A2H_006_Lai_500m_doy2003033_aid0001,2003-02-02,0.1,6.7,0.5455291999999999,0.5624816999999999,0.3163857,0.7,1.4,0.3,0.1,0.2,KARAULI,2003,2,2,52941,131287,2.479873821801628
3,MOD15A2H_006_Lai_500m_doy2004033_aid0001,2004-02-02,0.1,6.8,0.862036,0.7621591999999999,0.5808866,1.2,2.5,0.6,0.1,0.3,KARAULI,2004,2,2,63492,231030,3.6387261387261383
4,MOD15A2H_006_Lai_500m_doy2005033_aid0001,2005-02-02,0.1,3.5,0.6416151,0.4476463,0.20038720000000002,0.9,1.8,0.5,0.1,0.3,KARAULI,2005,2,2,50984,167098,3.277459595167111
5,MOD15A2H_006_Lai_500m_doy2006033_aid0001,2006-02-02,0.2,6.8,0.658563,0.473628,0.2243235,0.9,1.8,0.5,0.2,0.3,KARAULI,2006,2,2,51891,170279,3.281474629511861
6,MOD15A2H_006_Lai_500m_doy2007033_aid0001,2007-02-02,0.2,6.2,0.6134183000000001,0.5096470999999999,0.2597402,0.7,1.3,0.5,0.2,0.3,KARAULI,2007,2,2,53423,163549,3.0613967766692247
7,MOD15A2H_006_Lai_500m_doy2008033_aid0001,2008-02-02,0.1,6.6,0.6172232,0.532415,0.2834658,0.7,1.3,0.5,0.1,0.3,KARAULI,2008,2,2,56952,192121,3.373384604579295
8,MOD15A2H_006_Lai_500m_doy2009033_aid0001,2009-02-02,0.1,6.7,0.7139688,0.5002905,0.2502906,1.0,2.0,0.6,0.1,0.3,KARAULI,2009,2,2,62737,228085,3.6355739037569537
9,MOD15A2H_006_Lai_500m_doy2010033_aid0001,2010-02-02,0.1,6.5,0.8539283999999999,0.6976005,0.48664650000000004,1.2,2.5,0.6,0.1,0.3,KARAULI,2010,2,2,73134,285650,3.9058440670549954
10,MOD15A2H_006_Lai_500m_doy2010033_aid0001,2010-02-02,0.1,6.5,0.8539283999999999,0.6976005,0.48664650000000004,1.2,2.5,0.6,0.1,0.3,KARAULI,2010,2,2,73134,285650,3.9058440670549954
11,MOD15A2H_006_Lai_500m_doy2001033_aid0002,2001-02-02,0.1,6.7,0.9665036,0.7438904000000001,0.553373,1.4,2.9,0.7,0.1,0.4,KOTA,2001,2,2,96156,241324,2.509713382420234
12,MOD15A2H_006_Lai_500m_doy2002033_aid0002,2002-02-02,0.1,6.8,1.0052546999999998,0.7101653,0.5043348,1.5,3.0,0.8,0.1,0.5,KOTA,2002,2,2,79144,227185,2.8705271404023045
13,MOD15A2H_006_Lai_500m_doy2003033_aid0002,2003-02-02,0.1,4.7,0.71701,0.5487715999999999,0.3011503,1.0,2.0,0.5,0.1,0.3,KOTA,2003,2,2,50311,141770,2.8178728309912344
14,MOD15A2H_006_Lai_500m_doy2004033_aid0002,2004-02-02,0.1,6.8,1.1548286,0.9365858,0.8771929,1.7,3.6,0.8,0.1,0.4,KOTA,2004,2,2,66760,191358,2.8663571000599157
15,MOD15A2H_006_Lai_500m_doy2005033_aid0002,2005-02-02,0.1,6.5,1.1428402,0.8262873,0.6827506,1.7,3.5,0.9,0.1,0.5,KOTA,2005,2,2,64902,220058,3.3906197035530488
16,MOD15A2H_006_Lai_500m_doy2006033_aid0002,2006-02-02,0.1,6.3,1.0441052,0.7249557,0.5255608,1.6,3.2,0.8,0.1,0.5,KOTA,2006,2,2,64753,209469,3.234892591849026
17,MOD15A2H_006_Lai_500m_doy2007033_aid0002,2007-02-02,0.1,5.6,1.1143348,0.7872531,0.6197674,1.6,3.2,0.9,0.1,0.5,KOTA,2007,2,2,81551,296388,3.634388296893968
18,MOD15A2H_006_Lai_500m_doy2008033_aid0002,2008-02-02,0.1,6.4,1.1656628999999998,0.8651161,0.7484258,1.7,3.5,0.9,0.1,0.5,KOTA,2008,2,2,110050,398747,3.62332576101772
19,MOD15A2H_006_Lai_500m_doy2009033_aid0002,2009-02-02,0.1,6.6,1.1347575,0.8164992,0.6666709,1.6,3.2,1.0,0.1,0.5,KOTA,2009,2,2,86611,320290,3.698029118703167
20,MOD15A2H_006_Lai_500m_doy2010033_aid0002,2010-02-02,0.1,6.7,1.1205755,0.8865219999999999,0.7859213,1.6,3.4,0.8,0.1,0.4,KOTA,2010,2,2,91999,325222,3.535060163697432
21,MOD15A2H_006_Lai_500m_doy2010033_aid0002,2010-02-02,0.1,6.7,1.1205755,0.8865219999999999,0.7859213,1.6,3.4,0.8,0.1,0.4,KOTA,2010,2,2,91999,325222,3.535060163697432
22,MOD15A2H_006_Lai_500m_doy2001033_aid0003,2001-02-02,0.1,2.9,0.3391531,0.23531710000000003,0.055374099999999996,0.4,0.7,0.2,0.1,0.2,NAGAUR,2001,2,2,91912,184326,2.00546174601793
23,MOD15A2H_006_Lai_500m_doy2002033_aid0003,2002-02-02,0.1,2.3,0.333366,0.2270285,0.0515419,0.4,0.7,0.2,0.1,0.2,NAGAUR,2002,2,2,69514,179307,2.5794372356647584
24,MOD15A2H_006_Lai_500m_doy2003033_aid0003,2003-02-02,0.1,3.1,0.3257618,0.26963940000000003,0.0727054,0.3,0.4,0.2,0.1,0.2,NAGAUR,2003,2,2,85412,189465,2.218248021355313
25,MOD15A2H_006_Lai_500m_doy2004033_aid0003,2004-02-02,0.0,3.9,0.42245839999999996,0.3398296,0.1154841,0.5,0.9,0.3,0.0,0.2,NAGAUR,2004,2,2,74768,201871,2.6999652257650335
26,MOD15A2H_006_Lai_500m_doy2005033_aid0003,2005-02-02,0.1,3.4,0.3944776,0.3198788,0.1023224,0.5,0.9,0.2,0.1,0.2,NAGAUR,2005,2,2,69640,141396,2.0303848363009767
27,MOD15A2H_006_Lai_500m_doy2006033_aid0003,2006-02-02,0.1,2.5,0.375972,0.2956487,0.0874081,0.5,0.9,0.2,0.1,0.2,NAGAUR,2006,2,2,71316,163469,2.2921784732738795
28,MOD15A2H_006_Lai_500m_doy2007033_aid0003,2007-02-02,0.1,2.5,0.35431979999999996,0.2910324,0.0846999,0.4,0.7,0.2,0.1,0.2,NAGAUR,2007,2,2,76384,165160,2.162232928361961
29,MOD15A2H_006_Lai_500m_doy2008033_aid0003,2008-02-02,0.1,2.1,0.3294769,0.24957089999999998,0.062285599999999997,0.3,0.4,0.2,0.1,0.2,NAGAUR,2008,2,2,79567,161304,2.02727261301796
30,MOD15A2H_006_Lai_500m_doy2009033_aid0003,2009-02-02,0.0,2.6,0.354272,0.2751221,0.0756921,0.4,0.7,0.2,0.0,0.2,NAGAUR,2009,2,2,67100,173274,2.582324888226528
31,MOD15A2H_006_Lai_500m_doy2010033_aid0003,2010-02-02,0.1,2.9,0.3352591,0.2815744,0.0792842,0.3,0.4,0.2,0.1,0.2,NAGAUR,2010,2,2,77165,194171,2.5163092075422795
32,MOD15A2H_006_Lai_500m_doy2010033_aid0003,2010-02-02,0.1,2.9,0.3352591,0.2815744,0.0792842,0.3,0.4,0.2,0.1,0.2,NAGAUR,2010,2,2,77165,194171,2.5163092075422795
33,MOD15A2H_006_Lai_500m_doy2001033_aid0004,2001-02-02,0.0,3.1,0.33476849999999997,0.1882409,0.035434600000000004,0.4,0.7,0.3,0.0,0.2,PALI,2001,2,2,51527,74074,1.4375764162477924
34,MOD15A2H_006_Lai_500m_doy2002033_aid0004,2002-02-02,0.1,4.2,0.4094826,0.25159580000000004,0.0633004,0.5,0.8,0.3,0.1,0.3,PALI,2002,2,2,68178,113534,1.665258587814251
35,MOD15A2H_006_Lai_500m_doy2003033_aid0004,2003-02-02,0.1,3.3,0.26850630000000003,0.1305446,0.017041900000000002,0.3,0.4,0.2,0.1,0.2,PALI,2003,2,2,29431,61032,2.0737317794162617
36,MOD15A2H_006_Lai_500m_doy2004033_aid0004,2004-02-02,0.1,2.3,0.3798041,0.1920763,0.036893300000000004,0.5,0.8,0.3,0.1,0.3,PALI,2004,2,2,38801,79685,2.0536841833973347
37,MOD15A2H_006_Lai_500m_doy2005033_aid0004,2005-02-02,0.1,2.4,0.2986873,0.1442928,0.0208204,0.3,0.4,0.3,0.1,0.2,PALI,2005,2,2,25553,43649,1.7081751653426211
38,MOD15A2H_006_Lai_500m_doy2006033_aid0004,2006-02-02,0.1,1.9,0.3498812,0.1772914,0.031432299999999996,0.4,0.7,0.3,0.1,0.2,PALI,2006,2,2,28652,37038,1.2926846293452463
39,MOD15A2H_006_Lai_500m_doy2007033_aid0004,2007-02-02,0.1,6.4,0.4506709,0.31659240000000005,0.1002308,0.5,0.8,0.3,0.1,0.3,PALI,2007,2,2,77550,149111,1.9227724049000643
40,MOD15A2H_006_Lai_500m_doy2008033_aid0004,2008-02-02,0.1,5.1,0.4554532,0.3054993,0.0933298,0.5,0.8,0.3,0.1,0.3,PALI,2008,2,2,69452,131968,1.900132465587744
41,MOD15A2H_006_Lai_500m_doy2009033_aid0004,2009-02-02,0.1,1.7,0.3114961,0.13909670000000002,0.0193479,0.3,0.4,0.3,0.1,0.2,PALI,2009,2,2,30185,51077,1.692131853569654
42,MOD15A2H_006_Lai_500m_doy2010033_aid0004,2010-02-02,0.1,1.7,0.2660525,0.1189886,0.0141583,0.3,0.4,0.2,0.1,0.2,PALI,2010,2,2,24350,48213,1.98
43,MOD15A2H_006_Lai_500m_doy2010033_aid0004,2010-02-02,0.1,1.7,0.2660525,0.1189886,0.0141583,0.3,0.4,0.2,0.1,0.2,PALI,2010,2,2,24350,48213,1.98
44,MOD15A2H_006_Lai_500m_doy2001033_aid0005,2001-02-02,0.1,2.8,0.2711252,0.1113569,0.012400399999999999,0.3,0.4,0.2,0.1,0.2,RAJSAMAND,2001,2,2,3342,7208,2.1567923399162177
45,MOD15A2H_006_Lai_500m_doy2002033_aid0005,2002-02-02,0.1,2.6,0.3917514,0.16804639999999998,0.028239599999999997,0.5,0.8,0.3,0.1,0.3,RAJSAMAND,2002,2,2,15369,42099,2.7392153035330864
46,MOD15A2H_006_Lai_500m_doy2003033_aid0005,2003-02-02,0.1,1.7,0.2697368,0.0915174,0.0083754,0.3,0.4,0.3,0.1,0.2,RAJSAMAND,2003,2,2,1482,3158,2.1309041835357623
47,MOD15A2H_006_Lai_500m_doy2004033_aid0005,2004-02-02,0.1,2.5,0.3254117,0.1504009,0.022620400000000002,0.3,0.4,0.3,0.1,0.2,RAJSAMAND,2004,2,2,5376,15020,2.7938988095238093
48,MOD15A2H_006_Lai_500m_doy2005033_aid0005,2005-02-02,0.1,2.4,0.3146091,0.12868510000000002,0.016559900000000002,0.3,0.4,0.3,0.1,0.2,RAJSAMAND,2005,2,2,3293,9348,2.8387488612207714
49,MOD15A2H_006_Lai_500m_doy2006033_aid0005,2006-02-02,0.1,3.9,0.47257840000000007,0.2304136,0.0530904,0.5,0.8,0.4,0.1,0.3,RAJSAMAND,2006,2,2,16323,45077,2.7615634380934884
50,MOD15A2H_006_Lai_500m_doy2007033_aid0005,2007-02-02,0.1,4.1,0.6022684,0.30626240000000005,0.0937967,0.7,1.1,0.5,0.1,0.4,RAJSAMAND,2007,2,2,36704,116996,3.1875544899738446
51,MOD15A2H_006_Lai_500m_doy2008033_aid0005,2008-02-02,0.1,2.8,0.5347246,0.2528292,0.0639226,0.6,0.9,0.5,0.1,0.4,RAJSAMAND,2008,2,2,34420,107093,3.1113596746077863
52,MOD15A2H_006_Lai_500m_doy2009033_aid0005,2009-02-02,0.1,2.4,0.3714953,0.1551904,0.024084,0.5,0.8,0.3,0.1,0.3,RAJSAMAND,2009,2,2,12069,26966,2.2343193305161986
53,MOD15A2H_006_Lai_500m_doy2010033_aid0005,2010-02-02,0.1,2.4,0.319236,0.1372477,0.018836900000000004,0.4,0.7,0.3,0.1,0.2,RAJSAMAND,2010,2,2,6461,16811,2.6019192075530104
54,MOD15A2H_006_Lai_500m_doy2010033_aid0005,2010-02-02,0.1,2.4,0.319236,0.1372477,0.018836900000000004,0.4,0.7,0.3,0.1,0.2,RAJSAMAND,2010,2,2,6461,16811,2.6019192075530104
55,MOD15A2H_006_Lai_500m_doy2001033_aid0006,2001-02-02,0.1,6.6,0.7421856,0.521638,0.27210619999999996,1.0,1.9,0.6,0.1,0.4,SAWAI MADHOPUR,2001,2,2,66197,111612,1.6860582805867337
56,MOD15A2H_006_Lai_500m_doy2002033_aid0006,2002-02-02,0.1,6.7,0.8707853000000001,0.5512882,0.3039186,1.1,2.0,0.7,0.1,0.5,SAWAI MADHOPUR,2002,2,2,62102,116887,1.8821777076422657
57,MOD15A2H_006_Lai_500m_doy2003033_aid0006,2003-02-02,0.1,3.6,0.5516904,0.4145417,0.1718448,0.7,1.3,0.4,0.1,0.3,SAWAI MADHOPUR,2003,2,2,54227,82843,1.5277075995352867
58,MOD15A2H_006_Lai_500m_doy2004033_aid0006,2004-02-02,0.1,6.5,0.9267095,0.6195088000000001,0.3837912,1.2,2.2,0.8,0.1,0.5,SAWAI MADHOPUR,2004,2,2,60948,130252,2.1371004790969352
59,MOD15A2H_006_Lai_500m_doy2005033_aid0006,2005-02-02,0.1,3.5,0.8560769,0.4758157,0.22640059999999998,1.1,2.0,0.7,0.1,0.5,SAWAI MADHOPUR,2005,2,2,44021,78218,1.7768337838758774
60,MOD15A2H_006_Lai_500m_doy2006033_aid0006,2006-02-02,0.1,6.1,0.8104296999999999,0.4581291,0.20988220000000002,1.0,1.7,0.7,0.1,0.5,SAWAI MADHOPUR,2006,2,2,44491,90111,2.0253759187251354
61,MOD15A2H_006_Lai_500m_doy2007033_aid0006,2007-02-02,0.1,3.6,0.7365869,0.48059989999999997,0.2309763,1.0,1.9,0.6,0.1,0.4,SAWAI MADHOPUR,2007,2,2,42351,118521,2.798540766451796
62,MOD15A2H_006_Lai_500m_doy2008033_aid0006,2008-02-02,0.1,6.2,0.7759754,0.5494198,0.30186209999999997,1.0,1.9,0.6,0.1,0.4,SAWAI MADHOPUR,2008,2,2,45688,118179,2.586652950446507
63,MOD15A2H_006_Lai_500m_doy2009033_aid0006,2009-02-02,0.2,6.6,0.8603556,0.4841869000000001,0.2344369,1.1,2.0,0.7,0.2,0.5,SAWAI MADHOPUR,2009,2,2,53450,164400,3.0757717492984096
64,MOD15A2H_006_Lai_500m_doy2010033_aid0006,2010-02-02,0.1,6.5,0.9748485,0.6145269,0.3776433,1.3,2.5,0.9,0.1,0.5,SAWAI MADHOPUR,2010,2,2,61185,213165,3.4839421426820296
65,MOD15A2H_006_Lai_500m_doy2010033_aid0006,2010-02-02,0.1,6.5,0.9748485,0.6145269,0.3776433,1.3,2.5,0.9,0.1,0.5,SAWAI MADHOPUR,2010,2,2,61185,213165,3.4839421426820296
66,MOD15A2H_006_Lai_500m_doy2001033_aid0007,2001-02-02,0.1,3.9,0.4980097,0.3056562,0.0934257,0.7,1.4,0.5,0.1,0.2,SIKAR,2001,2,2,86767,171194,1.9730312215473624
67,MOD15A2H_006_Lai_500m_doy2002033_aid0007,2002-02-02,0.1,2.6,0.5190468,0.3171677,0.1005953,0.7,1.4,0.5,0.1,0.2,SIKAR,2002,2,2,82086,269379,3.2816680067246544
68,MOD15A2H_006_Lai_500m_doy2003033_aid0007,2003-02-02,0.1,2.3,0.46176629999999996,0.32399520000000004,0.10497290000000001,0.7,1.4,0.3,0.1,0.2,SIKAR,2003,2,2,84627,247138,2.92032093776218
69,MOD15A2H_006_Lai_500m_doy2004033_aid0007,2004-02-02,0.1,4.4,0.6256383000000001,0.42660929999999997,0.1819955,0.9,1.8,0.5,0.1,0.3,SIKAR,2004,2,2,86844,229255,2.6398484639123025
70,MOD15A2H_006_Lai_500m_doy2005033_aid0007,2005-02-02,0.1,3.3,0.5986576,0.39957919999999997,0.15966349999999999,0.9,1.9,0.5,0.1,0.2,SIKAR,2005,2,2,86650,266724,3.0781765724177728
71,MOD15A2H_006_Lai_500m_doy2006033_aid0007,2006-02-02,0.1,3.9,0.5790287,0.3668829,0.134603,0.8,1.7,0.5,0.1,0.2,SIKAR,2006,2,2,84607,215361,2.545427683288617
72,MOD15A2H_006_Lai_500m_doy2007033_aid0007,2007-02-02,0.1,3.0,0.5546313,0.37923809999999997,0.1438215,0.8,1.7,0.4,0.1,0.2,SIKAR,2007,2,2,84349,267674,3.1734104731532087
73,MOD15A2H_006_Lai_500m_doy2008033_aid0007,2008-02-02,0.1,3.9,0.49556359999999994,0.3314978,0.10989080000000001,0.7,1.4,0.3,0.1,0.2,SIKAR,2008,2,2,85200,170924,2.006150234741784
74,MOD15A2H_006_Lai_500m_doy2009033_aid0007,2009-02-02,0.1,2.7,0.6324466,0.433044,0.1875271,0.9,1.8,0.5,0.1,0.3,SIKAR,2009,2,2,85657,250455,2.92392915932148
75,MOD15A2H_006_Lai_500m_doy2010033_aid0007,2010-02-02,0.1,2.5,0.5643716,0.4260991,0.1815605,0.9,1.9,0.4,0.1,0.2,SIKAR,2010,2,2,90628,301181,3.3232665401421198
76,MOD15A2H_006_Lai_500m_doy2010033_aid0007,2010-02-02,0.1,2.5,0.5643716,0.4260991,0.1815605,0.9,1.9,0.4,0.1,0.2,SIKAR,2010,2,2,90628,301181,3.3232665401421198
77,MOD15A2H_006_Lai_500m_doy2001033_aid0008,2001-02-02,0.1,1.8,0.34955890000000006,0.1783306,0.0318018,0.4,0.7,0.3,0.1,0.2,SIROHI,2001,2,2,15218,25630,1.684189775266132
78,MOD15A2H_006_Lai_500m_doy2002033_aid0008,2002-02-02,0.1,2.3,0.41279079999999996,0.21130029999999997,0.0446478,0.5,0.8,0.3,0.1,0.3,SIROHI,2002,2,2,22526,51029,2.265337831838764
79,MOD15A2H_006_Lai_500m_doy2003033_aid0008,2003-02-02,0.1,1.7,0.319808,0.152028,0.0231125,0.4,0.7,0.3,0.1,0.2,SIROHI,2003,2,2,10087,24429,2.421830078318628
80,MOD15A2H_006_Lai_500m_doy2004033_aid0008,2004-02-02,0.1,2.7,0.5221,0.23645770000000002,0.055912199999999995,0.6,1.0,0.5,0.1,0.3,SIROHI,2004,2,2,26658,70468,2.643409107960087
