,District,Date,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,KARAULI,2001-02-02,6352.0,293.76,306.78,302.1004565,2.5881552000000005,6.698547200000001,304.2,306.78,302.66,294.96,300.5,2001,2,2,61886,118884,1.9210160617910352
1,KARAULI,2002-02-02,6352.0,291.78,303.28,298.5846222,2.5668867000000004,6.588907099999999,300.64,303.28,299.24,291.94,297.16,2002,2,2,55324,174640,3.1566770298604583
2,KARAULI,2003-02-02,6351.0,293.62,305.52,299.9353614,2.3661399,5.598617900000001,301.26,305.12,300.26,294.82,298.68,2003,2,2,52941,131287,2.479873821801628
3,KARAULI,2004-02-02,6352.0,293.66,303.96,299.3644616,2.1330539,4.5499191,301.12,303.96,299.74,293.66,298.04,2004,2,2,63492,231030,3.6387261387261383
4,KARAULI,2005-02-02,6352.0,292.32,301.86,297.71722610000006,2.0553396,4.2244209999999995,299.28,301.86,298.08,292.32,296.4,2005,2,2,50984,167098,3.277459595167111
5,KARAULI,2006-02-02,6352.0,296.08,306.7,302.4728652,2.1931395,4.8098611,304.16,306.7,302.86,296.6,301.12,2006,2,2,51891,170279,3.281474629511861
6,KARAULI,2007-02-02,6352.0,294.64,305.9,301.4907966,2.1398929,4.5791417,303.16,305.9,301.92,295.72,300.18,2007,2,2,53423,163549,3.0613967766692247
7,KARAULI,2008-02-02,6345.0,290.3,302.78,297.2215414,2.5034,6.267011699999999,299.3,302.78,297.74,290.3,295.5,2008,2,2,56952,192121,3.373384604579295
8,KARAULI,2009-02-02,6352.0,296.82,305.72,301.955466,1.8625374,3.4690456,303.52,305.72,302.03,296.82,300.66,2009,2,2,62737,228085,3.6355739037569537
9,KARAULI,2010-02-02,6352.0,293.08,304.04,299.8763665,2.3523212000000004,5.5334149,301.96,304.04,300.12,293.08,298.0,2010,2,2,73134,285650,3.9058440670549954
10,KARAULI,2011-02-02,6352.0,295.16,305.38,300.75179469999995,2.5869107000000002,6.692106900000001,303.22,305.38,300.66,295.16,298.62,2011,2,2,86163,365854,4.246068498079222
11,KARAULI,2012-02-02,6352.0,292.54,302.04,297.5745151,1.9363488999999998,3.749447,299.22,302.04,297.56,292.54,296.12,2012,2,2,75295,296883,3.942931137525732
12,KARAULI,2013-02-02,6352.0,292.94,302.64,298.0506423,2.3352879,5.4535697,300.32,302.64,297.7,292.94,296.16,2013,2,2,78348,306585,3.9131183948537296
13,KARAULI,2014-02-02,6352.0,291.9,301.92,297.4328621,2.1795062,4.7502472000000004,299.18,301.92,297.26,291.9,295.68,2014,2,2,83418,313196,3.754537390011748
14,KARAULI,2015-02-02,6352.0,293.28,301.7,297.3435422,1.9209463,3.6900345999999997,298.925,301.7,297.28,293.28,295.84,2015,2,2,85169,308964,3.6276579506628
15,KARAULI,2016-02-02,6352.0,293.26,305.2,299.55983,2.7980312,7.8289788,301.98,305.2,299.8,293.26,297.36,2016,2,2,78974,279286,3.536429711044141
16,KARAULI,2017-02-02,6352.0,290.14,303.38,296.5393923,2.6765998,7.1641865000000005,298.68,303.38,296.38,290.14,294.42,2017,2,2,89193,360710,4.044151446862422
17,KARAULI,2018-02-02,6352.0,292.24,304.3,298.89260079999997,2.5700225,6.605015799999999,300.92,304.3,299.42,292.24,296.94,2018,2,2,75421,319581,4.23729465268294
18,KARAULI,2019-02-02,6352.0,291.1,300.98,295.7615649,2.3740955,5.6363294,297.42,300.98,295.34,291.1,293.82,2019,2,2,77846,346048,4.445289417568018
19,KOTA,2001-02-02,6893.0,294.96,309.66,301.741059,3.1254060000000004,9.7681627,304.52,309.66,301.82,294.96,299.06,2001,2,2,96156,241324,2.509713382420234
20,KOTA,2002-02-02,6893.0,292.26,305.04,298.1411548,2.8701306,8.2376495,300.78,305.04,298.06,292.26,295.58,2002,2,2,79144,227185,2.8705271404023045
21,KOTA,2003-02-02,6893.0,294.58,308.84,301.7619556,2.5033257,6.2666393,303.4,308.58,301.74,294.76,299.94,2003,2,2,50311,141770,2.8178728309912344
22,KOTA,2004-02-02,6893.0,293.88,308.0,300.0229102,3.2846775999999998,10.7891067,303.06,308.0,299.94,293.88,297.12,2004,2,2,66760,191358,2.8663571000599157
23,KOTA,2005-02-02,6893.0,292.34,306.5,298.37476569999995,3.3759483999999995,11.3970276,301.66,306.5,297.58,292.34,295.32,2005,2,2,64902,220058,3.3906197035530488
24,KOTA,2006-02-02,6893.0,295.56,309.76,301.84468880000003,3.4557582,11.942264699999999,305.12,309.76,301.5,295.56,298.76,2006,2,2,64753,209469,3.234892591849026
