,District,Date,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,KARAULI,2001-02-02,6268.0,277.22,287.66,281.9836535,2.0927854,4.3797505999999995,283.68,287.66,282.04,277.22,280.0,2001,2,2,61886,118884,1.9210160617910352
1,KARAULI,2002-02-02,6307.0,278.44,287.6,283.5146409,1.7703513,3.1341437,284.9,287.6,283.7,278.44,281.9,2002,2,2,55324,174640,3.1566770298604583
2,KARAULI,2003-02-02,5686.0,278.36,289.14,285.5386106,1.4432896000000002,2.0830846999999997,286.62,289.14,285.66,281.88,284.48,2003,2,2,52941,131287,2.479873821801628
3,KARAULI,2004-02-02,6352.0,279.42,287.38,282.66137910000003,1.832729,3.3588957,284.16,287.38,282.72,279.42,280.84,2004,2,2,63492,231030,3.6387261387261383
4,KARAULI,2005-02-02,6352.0,280.22,290.82,285.5685863,1.7016796000000003,2.8957136,286.785,290.76,285.36,280.22,284.1,2005,2,2,50984,167098,3.277459595167111
5,KARAULI,2006-02-02,6349.0,281.96,292.26,287.1700205,1.9994216,3.9976866,288.76,292.26,287.34,281.96,285.24,2006,2,2,51891,170279,3.281474629511861
6,KARAULI,2007-02-02,6352.0,281.98,292.18,287.733369,1.3627524,1.8570941000000003,288.66,291.38,287.64,284.02,286.8,2007,2,2,53423,163549,3.0613967766692247
7,KARAULI,2008-02-02,6350.0,278.32,286.86,282.35816689999996,1.5911591,2.5317871,283.6,286.86,282.38,278.32,280.96,2008,2,2,56952,192121,3.373384604579295
8,KARAULI,2009-02-02,6352.0,283.02,291.42,286.6221474,1.8086818999999998,3.2713303,288.04,291.42,286.76,283.02,285.06,2009,2,2,62737,228085,3.6355739037569537
9,KARAULI,2010-02-02,6352.0,281.86,289.52,285.17763219999995,1.6471182,2.7129982999999998,286.52,289.52,285.04,281.86,283.74,2010,2,2,73134,285650,3.9058440670549954
10,KARAULI,2011-02-02,6352.0,282.72,290.74,285.8971222,1.7262123999999999,2.9798092,287.36,290.74,285.86,282.72,284.28,2011,2,2,86163,365854,4.246068498079222
11,KARAULI,2012-02-02,6352.0,279.02,286.74,282.7710737,1.6555456000000002,2.7408311000000003,284.1,286.74,282.72,279.02,281.26,2012,2,2,75295,296883,3.942931137525732
12,KARAULI,2013-02-02,6352.0,281.52,288.36,284.7561807,1.3324368999999998,1.7753881,285.72,288.36,284.86,281.52,283.64,2013,2,2,78348,306585,3.9131183948537296
13,KARAULI,2014-02-02,6352.0,283.82,289.78,286.56401760000006,1.0982501,1.2061534,287.4,289.78,286.46,283.82,285.66,2014,2,2,83418,313196,3.754537390011748
14,KARAULI,2015-02-02,6352.0,281.78,288.98,285.2377298,1.4665306,2.150712,286.4,288.98,285.32,281.78,283.84,2015,2,2,85169,308964,3.6276579506628
15,KARAULI,2016-02-02,6348.0,279.54,289.08,284.2724764,1.957293,3.8309959000000005,285.86,289.08,284.36,279.54,282.52,2016,2,2,78974,279286,3.536429711044141
16,KARAULI,2017-02-02,6352.0,282.42,290.32,285.93303210000005,1.3223056,1.7484921999999998,286.86,289.84,285.9,282.42,284.82,2017,2,2,89193,360710,4.044151446862422
17,KARAULI,2018-02-02,6338.0,280.42,289.66,284.9600789,1.8539267,3.4370442999999997,286.5,289.66,284.98,280.42,283.325,2018,2,2,75421,319581,4.23729465268294
18,KARAULI,2019-02-02,6352.0,277.84,287.56,283.17017000000004,1.4554025,2.1181963,284.32,287.56,283.08,278.9,282.02,2019,2,2,77846,346048,4.445289417568018
19,KOTA,2001-02-02,6893.0,279.2,289.04,282.31532860000004,1.964416,3.8589300000000004,283.96,288.54,281.64,279.2,280.76,2001,2,2,96156,241324,2.509713382420234
20,KOTA,2002-02-02,6893.0,280.08,288.16,283.09927749999997,1.6279015,2.6500633999999996,284.42,288.16,282.58,280.08,281.78,2002,2,2,79144,227185,2.8705271404023045
21,KOTA,2003-02-02,6884.0,283.58,290.74,286.029079,1.0327778,1.0666299,286.68,288.9,285.8,283.58,285.2,2003,2,2,50311,141770,2.8178728309912344
22,KOTA,2004-02-02,6893.0,279.18,288.9,282.1220572,1.8522158,3.4307033,283.54,287.82,281.4,279.18,280.68,2004,2,2,66760,191358,2.8663571000599157
23,KOTA,2005-02-02,6893.0,281.14,290.1,285.46391989999995,1.3835605,1.9142396000000002,286.36,289.26,285.2,281.54,284.42,2005,2,2,64902,220058,3.3906197035530488
24,KOTA,2006-02-02,6893.0,283.68,292.3,286.4262034,1.7178011999999998,2.9508411,287.78,291.86,285.8,283.68,285.06,2006,2,2,64753,209469,3.234892591849026
25,KOTA,2007-02-02,6893.0,285.1,292.74,288.0231684,1.591674,2.533426,289.38,292.74,287.66,285.1,286.66,2007,2,2,81551,296388,3.634388296893968
26,KOTA,2008-02-02,6893.0,279.36,287.1,281.8500131,1.4734483,2.1710498,282.98,286.38,281.36,279.36,280.7,2008,2,2,110050,398747,3.62332576101772
27,KOTA,2009-02-02,6893.0,283.8,291.94,286.2350268,1.5043693,2.2631271,287.36,290.76,285.72,283.8,285.08,2009,2,2,86611,320290,3.698029118703167
28,KOTA,2010-02-02,6893.0,282.34,291.84,285.240235,1.8555244999999998,3.4429712,286.82,291.36,284.68,282.34,283.72,2010,2,2,91999,325222,3.535060163697432
29,KOTA,2011-02-02,6893.0,284.0,291.5,286.7029885,1.47332,2.1706719,287.9,291.26,286.14,284.0,285.56,2011,2,2,115280,411409,3.5687803608605133
30,KOTA,2012-02-02,6893.0,280.36,288.84,282.84371969999995,1.4330896999999998,2.0537462,283.98,287.36,282.34,280.36,281.72,2012,2,2,111785,467738,4.18426443619448
31,KOTA,2013-02-02,6893.0,281.32,289.7,284.23369510000003,1.2384368000000001,1.5337257,285.06,287.64,284.02,281.32,283.34,2013,2,2,127996,541271,4.228811837869934
32,KOTA,2014-02-02,6893.0,284.36,292.22,286.8803163,1.3569917999999999,1.8414268,287.96,291.14,286.46,284.36,285.82,2014,2,2,138008,553604,4.011390644020636
33,KOTA,2015-02-02,6893.0,283.92,290.66,286.0320093,1.2046086,1.4510818,286.86,289.44,285.68,283.92,285.14,2015,2,2,135748,279120,2.056162890060995
34,KOTA,2016-02-02,6893.0,281.9,289.98,284.36201360000007,1.4061982,1.9773933999999997,285.46,288.7,283.86,281.9,283.28,2016,2,2,120081,468840,3.9043645539261003
