,File Name,Date,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,MOD15A2H_006_Lai_500m_doy2001001_aid0001,2001-01-01,0.1,3.1,0.503473,0.26923040000000004,0.07248500000000001,0.6,1.0,0.4,0.1,0.3,KARAULI,2001,1,1,61886,118884,1.9210160617910352
1,MOD15A2H_006_Lai_500m_doy2002001_aid0001,2002-01-01,0.1,3.2,0.42934629999999996,0.2626954,0.0690089,0.5,0.8,0.3,0.1,0.3,KARAULI,2002,1,1,55324,174640,3.1566770298604583
2,MOD15A2H_006_Lai_500m_doy2003001_aid0001,2003-01-01,0.1,6.5,0.3883222,0.32108400000000004,0.103095,0.4,0.7,0.3,0.1,0.2,KARAULI,2003,1,1,52941,131287,2.479873821801628
3,MOD15A2H_006_Lai_500m_doy2004001_aid0001,2004-01-01,0.1,2.5,0.5330055,0.33380340000000003,0.1114247,0.7,1.3,0.4,0.1,0.3,KARAULI,2004,1,1,63492,231030,3.6387261387261383
4,MOD15A2H_006_Lai_500m_doy2005001_aid0001,2005-01-01,0.1,3.2,0.6265816999999999,0.41745340000000003,0.17426729999999999,0.9,1.8,0.5,0.1,0.3,KARAULI,2005,1,1,50984,167098,3.277459595167111
5,MOD15A2H_006_Lai_500m_doy2006001_aid0001,2006-01-01,0.1,3.7,0.6012265,0.43316720000000003,0.1876338,0.7,1.3,0.5,0.1,0.3,KARAULI,2006,1,1,51891,170279,3.281474629511861
6,MOD15A2H_006_Lai_500m_doy2007001_aid0001,2007-01-01,0.1,4.1,0.5174459,0.3770829,0.1421915,0.7,1.4,0.4,0.1,0.2,KARAULI,2007,1,1,53423,163549,3.0613967766692247
7,MOD15A2H_006_Lai_500m_doy2008001_aid0001,2008-01-01,0.1,2.8,0.43869659999999994,0.31263520000000006,0.0977408,0.5,0.9,0.3,0.1,0.2,KARAULI,2008,1,1,56952,192121,3.373384604579295
8,MOD15A2H_006_Lai_500m_doy2009001_aid0001,2009-01-01,0.1,3.6,0.6458409,0.4038288,0.1630777,0.9,1.8,0.5,0.1,0.3,KARAULI,2009,1,1,62737,228085,3.6355739037569537
9,MOD15A2H_006_Lai_500m_doy2010001_aid0001,2010-01-01,0.1,6.9,0.8133374,0.614397,0.3774837,1.1,2.1,0.7,0.1,0.4,KARAULI,2010,1,1,73134,285650,3.9058440670549954
10,MOD15A2H_006_Lai_500m_doy2010001_aid0001,2010-01-01,0.1,6.9,0.8133374,0.614397,0.3774837,1.1,2.1,0.7,0.1,0.4,KARAULI,2010,1,1,73134,285650,3.9058440670549954
11,MOD15A2H_006_Lai_500m_doy2001001_aid0002,2001-01-01,0.1,4.2,0.7132228,0.4225259,0.1785281,1.0,2.0,0.7,0.1,0.3,KOTA,2001,1,1,96156,241324,2.509713382420234
12,MOD15A2H_006_Lai_500m_doy2002001_aid0002,2002-01-01,0.1,3.2,0.6547291999999999,0.3713676,0.13791389999999998,0.9,1.8,0.6,0.1,0.3,KOTA,2002,1,1,79144,227185,2.8705271404023045
13,MOD15A2H_006_Lai_500m_doy2003001_aid0002,2003-01-01,0.1,3.2,0.4765544,0.28671199999999997,0.08220380000000001,0.6,1.0,0.4,0.1,0.3,KOTA,2003,1,1,50311,141770,2.8178728309912344
14,MOD15A2H_006_Lai_500m_doy2004001_aid0002,2004-01-01,0.1,4.8,0.7319372,0.44024090000000005,0.19381210000000001,1.0,2.0,0.7,0.1,0.3,KOTA,2004,1,1,66760,191358,2.8663571000599157
15,MOD15A2H_006_Lai_500m_doy2005001_aid0002,2005-01-01,0.1,6.5,1.0409294,0.673754,0.4539445,1.6,3.2,0.9,0.1,0.5,KOTA,2005,1,1,64902,220058,3.3906197035530488
16,MOD15A2H_006_Lai_500m_doy2006001_aid0002,2006-01-01,0.1,3.3,0.8254290000000001,0.5043979999999999,0.2544174,1.1,2.1,0.7,0.1,0.4,KOTA,2006,1,1,64753,209469,3.234892591849026
