,District,Date,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,KARAULI,2001-01-01,5864.0,289.12,299.12,295.2530832,1.7809381000000002,3.1717406,296.58,299.12,295.52,290.24,294.04,2001,1,1,61886,118884,1.9210160617910352
1,KARAULI,2002-01-01,6352.0,284.48,301.64,297.168728,2.0036353,4.0145542999999995,298.66,301.64,297.52,291.72,295.86,2002,1,1,55324,174640,3.1566770298604583
2,KARAULI,2003-01-01,6293.0,289.7,302.02,295.1695757,2.2650064,5.1302541,295.88,298.9,294.88,290.84,293.86,2003,1,1,52941,131287,2.479873821801628
3,KARAULI,2004-01-01,6352.0,288.02,299.12,293.97260710000006,1.552719,2.4109363999999998,294.76,297.36,293.92,290.42,293.02,2004,1,1,63492,231030,3.6387261387261383
4,KARAULI,2005-01-01,6352.0,291.48,301.38,296.43755669999996,2.0051558999999997,4.0206501,298.04,301.38,296.48,291.48,295.06,2005,1,1,50984,167098,3.277459595167111
5,KARAULI,2006-01-01,6352.0,288.32,300.04,294.8132431,2.027158,4.1093697,296.56,300.04,295.04,288.66,293.4,2006,1,1,51891,170279,3.281474629511861
6,KARAULI,2007-01-01,6319.0,289.7,302.94,295.9337332,2.2473567,5.0506123,297.54,302.26,296.36,289.7,294.36,2007,1,1,53423,163549,3.0613967766692247
7,KARAULI,2008-01-01,6290.0,289.94,299.98,295.9221653,1.829589,3.3473957999999997,297.48,299.98,296.08,290.48,294.66,2008,1,1,56952,192121,3.373384604579295
8,KARAULI,2009-01-01,6352.0,290.9,302.54,295.6140775,1.8005271,3.2418979,296.98,300.64,295.62,290.9,294.18,2009,1,1,62737,228085,3.6355739037569537
9,KARAULI,2010-01-01,6352.0,291.76,299.34,295.5521505,1.6648953000000002,2.7718764,296.88,299.34,295.52,291.76,294.24,2010,1,1,73134,285650,3.9058440670549954
10,KARAULI,2011-01-01,6345.0,287.76,297.16,292.1623294,1.5409173999999999,2.3744263,293.24,296.48,292.08,287.84,291.08,2011,1,1,86163,365854,4.246068498079222
11,KARAULI,2012-01-01,6141.0,290.16,297.6,293.69685069999997,1.3168028999999999,1.7339698000000001,294.68,297.44,293.76,290.16,292.84,2012,1,1,75295,296883,3.942931137525732
12,KARAULI,2013-01-01,6339.0,286.26,296.94,292.3996687,1.9172962,3.6760248,293.94,296.94,292.26,286.9,291.02,2013,1,1,78348,306585,3.9131183948537296
13,KARAULI,2014-01-01,6324.0,287.62,296.42,291.8957084,1.7185133000000001,2.9532879000000003,293.22,296.42,291.63,287.62,290.56,2014,1,1,83418,313196,3.754537390011748
