,District,Date,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,KARAULI,2001-01-01,6344.0,275.32,284.64,280.8146248,1.5646753,2.4482089,282.0,284.64,280.81,276.36,279.74,2001,1,1,61886,118884,1.9210160617910352
1,KARAULI,2002-01-01,6294.0,274.54,286.5,281.6391262,1.8462383000000002,3.4085958,283.04,286.5,281.66,275.92,280.18,2002,1,1,55324,174640,3.1566770298604583
2,KARAULI,2003-01-01,6193.0,276.88,284.62,281.1566607,1.1600008,1.3456018,282.0,284.42,281.18,277.68,280.26,2003,1,1,52941,131287,2.479873821801628
3,KARAULI,2004-01-01,6352.0,276.94,284.64,280.3860264,1.4816697,2.1953452,281.56,284.64,280.28,276.94,279.14,2004,1,1,63492,231030,3.6387261387261383
4,KARAULI,2005-01-01,6346.0,278.92,286.86,282.73301289999995,1.4417182,2.0785513,283.84,286.86,282.72,278.92,281.52,2005,1,1,50984,167098,3.277459595167111
5,KARAULI,2006-01-01,6352.0,276.76,287.5,281.5784131,1.7441345000000001,3.0420052,282.86,286.42,281.46,276.76,280.22,2006,1,1,51891,170279,3.281474629511861
6,KARAULI,2007-01-01,6352.0,277.38,286.38,281.91999060000006,1.7029148,2.8999188,283.24,286.38,281.97,277.38,280.3,2007,1,1,53423,163549,3.0613967766692247
7,KARAULI,2008-01-01,6352.0,274.64,287.06,281.3320435,2.0205952000000003,4.0828050000000005,282.94,287.06,281.08,274.64,279.56,2008,1,1,56952,192121,3.373384604579295
8,KARAULI,2009-01-01,6352.0,279.38,286.44,282.4891247,1.5222289,2.3171807,283.64,286.44,282.48,279.38,281.08,2009,1,1,62737,228085,3.6355739037569537
9,KARAULI,2010-01-01,6349.0,279.38,285.9,282.2599401,1.2508194,1.5645491000000002,283.26,285.9,282.28,279.38,281.28,2010,1,1,73134,285650,3.9058440670549954
10,KARAULI,2011-01-01,6352.0,276.88,284.2,279.56301010000004,1.3102439,1.7167390999999999,280.6,283.56,279.5,276.88,278.4,2011,1,1,86163,365854,4.246068498079222
11,KARAULI,2012-01-01,6352.0,281.98,286.8,284.566461,0.8487863000000001,0.7204381999999999,285.16,286.8,284.5,282.16,283.96,2012,1,1,75295,296883,3.942931137525732
12,KARAULI,2013-01-01,6352.0,274.48,284.06,279.054978,1.34962,1.8214742,280.02,282.96,279.05,275.12,278.06,2013,1,1,78348,306585,3.9131183948537296
13,KARAULI,2014-01-01,6352.0,280.2,285.76,282.357119,1.1307287,1.2785474,283.18,285.76,282.26,280.2,281.4,2014,1,1,83418,313196,3.754537390011748
14,KARAULI,2015-01-01,6352.0,280.74,286.54,283.57270780000005,0.8922346,0.7960826,284.2,286.02,283.66,281.16,282.98,2015,1,1,85169,308964,3.6276579506628
15,KARAULI,2016-01-01,6351.0,282.66,289.6,285.9055991,1.2812531999999999,1.6416096999999998,286.87,289.6,285.8,282.66,284.8,2016,1,1,78974,279286,3.536429711044141
16,KARAULI,2017-01-01,6352.0,281.38,287.86,285.0793986,1.1099253999999998,1.2319343,285.98,287.86,285.06,281.46,284.16,2017,1,1,89193,360710,4.044151446862422
17,KARAULI,2018-01-01,6334.0,277.7,285.78,281.4971045,1.5460747,2.3903467999999997,282.72,285.78,281.4,277.7,280.2,2018,1,1,75421,319581,4.23729465268294
18,KARAULI,2019-01-01,6352.0,280.4,286.76,283.11693010000005,1.4196583,2.0154297999999997,284.26,286.76,283.18,280.4,281.82,2019,1,1,77846,346048,4.445289417568018
19,KOTA,2001-01-01,6893.0,279.4,287.14,282.00845499999997,1.1955367000000001,1.429308,282.9,285.6,281.66,279.4,281.1,2001,1,1,96156,241324,2.509713382420234
20,KOTA,2002-01-01,6893.0,279.42,287.36,282.2747918,1.2814166,1.6420285,283.12,285.82,281.96,279.42,281.32,2002,1,1,79144,227185,2.8705271404023045
21,KOTA,2003-01-01,6889.0,277.14,288.7,282.6862418,1.3981703,1.9548801,283.78,287.02,282.28,278.5,281.62,2003,1,1,50311,141770,2.8178728309912344
22,KOTA,2004-01-01,6893.0,279.22,287.0,282.0854432,1.2749382,1.6254674,282.98,285.82,281.7,279.22,281.08,2004,1,1,66760,191358,2.8663571000599157
23,KOTA,2005-01-01,6893.0,280.28,288.36,282.93303639999993,1.2912434,1.6673096,283.92,286.88,282.52,280.28,281.94,2005,1,1,64902,220058,3.3906197035530488
24,KOTA,2006-01-01,6893.0,278.34,289.12,282.3691716,1.4860568,2.2083647,283.38,286.56,282.22,278.34,281.22,2006,1,1,64753,209469,3.234892591849026
25,KOTA,2007-01-01,6893.0,280.88,288.16,283.6115102,1.3452803,1.809779,284.68,287.72,283.22,280.88,282.6,2007,1,1,81551,296388,3.634388296893968
26,KOTA,2008-01-01,6893.0,280.02,289.24,284.1431568,1.7632700000000001,3.1091208999999997,285.42,289.2,283.88,280.02,282.88,2008,1,1,110050,398747,3.62332576101772
