,File Name,District,Date,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,State/Crop/District,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,MOD13A3_006__1_km_monthly_NDVI_doy2001001_aid0001,KARAULI,01/01/2001,6352,0.1662,0.7726,0.35153140000000005,0.12198039999999999,0.0148792,0.42065,0.6641,0.309,0.1662,0.258,2001,KARAULI,Rabi       ,61886,118884,1.9210160617910352
1,MOD13A3_006__1_km_monthly_NDVI_doy2001032_aid0001,KARAULI,01/02/2001,6352,0.1428,0.8268,0.33658109999999997,0.134011,0.017959,0.40035,0.6445,0.28305,0.1428,0.2371,2001,KARAULI,Rabi       ,61886,118884,1.9210160617910352
2,MOD13A3_006__1_km_monthly_NDVI_doy2002001_aid0001,KARAULI,01/01/2002,6352,0.1708,0.7927,0.3425282,0.1250202,0.01563,0.413125,0.665,0.2952,0.1708,0.2451,2002,KARAULI,Rabi       ,55324,174640,3.1566770298604583
3,MOD13A3_006__1_km_monthly_NDVI_doy2002032_aid0001,KARAULI,01/02/2002,6352,0.1581,0.8113,0.3512688,0.14593029999999999,0.0212957,0.42895,0.7125,0.2942,0.1581,0.239275,2002,KARAULI,Rabi       ,55324,174640,3.1566770298604583
4,MOD13A3_006__1_km_monthly_NDVI_doy2003001_aid0001,KARAULI,01/01/2003,6352,0.1246,0.8198,0.3077523,0.1373013,0.0188516,0.36125,0.5864,0.2495,0.1246,0.2111,2003,KARAULI,Rabi       ,52941,131287,2.479873821801628
5,MOD13A3_006__1_km_monthly_NDVI_doy2003032_aid0001,KARAULI,01/02/2003,6352,0.121,0.7956,0.292674,0.1501092,0.0225328,0.349625,0.5884,0.2216,0.121,0.19,2003,KARAULI,Rabi       ,52941,131287,2.479873821801628
6,MOD13A3_006__1_km_monthly_NDVI_doy2004001_aid0001,KARAULI,01/01/2004,6352,0.1737,0.7954,0.400307,0.15064879999999997,0.0226951,0.525575,0.7954,0.3639,0.1737,0.2638,2004,KARAULI,Rabi       ,63492,231030,3.6387261387261383
7,MOD13A3_006__1_km_monthly_NDVI_doy2004032_aid0001,KARAULI,01/02/2004,6352,0.1579,0.8217,0.3839796,0.15811489999999997,0.0250003,0.513725,0.8217,0.33955,0.1579,0.241175,2004,KARAULI,Rabi       ,63492,231030,3.6387261387261383
8,MOD13A3_006__1_km_monthly_NDVI_doy2005001_aid0001,KARAULI,01/01/2005,6352,0.1114,0.779,0.3994804,0.1539516,0.0237011,0.52835,0.779,0.36225,0.1114,0.261675,2005,KARAULI,Rabi       ,50984,167098,3.277459595167111
9,MOD13A3_006__1_km_monthly_NDVI_doy2005032_aid0001,KARAULI,01/02/2005,6352,0.1072,0.7463,0.3541805,0.138665,0.019228,0.453325,0.7463,0.3162,0.1072,0.2341,2005,KARAULI,Rabi       ,50984,167098,3.277459595167111
10,MOD13A3_006__1_km_monthly_NDVI_doy2006001_aid0001,KARAULI,01/01/2006,6352,0.1355,0.7986,0.3769996,0.1478994,0.021874200000000003,0.488925,0.7986,0.33825,0.1355,0.2447,2006,KARAULI,Rabi       ,51891,170279,3.281474629511861
11,MOD13A3_006__1_km_monthly_NDVI_doy2006032_aid0001,KARAULI,01/02/2006,6352,0.1497,0.8085,0.34595840000000005,0.1374751,0.018899400000000004,0.43025,0.7291,0.3063,0.1497,0.2299,2006,KARAULI,Rabi       ,51891,170279,3.281474629511861
12,MOD13A3_006__1_km_monthly_NDVI_doy2007001_aid0001,KARAULI,01/01/2007,6352,0.1514,0.7867,0.3493915,0.1446395,0.020920599999999998,0.442325,0.7632,0.305,0.1514,0.22699999999999998,2007,KARAULI,Rabi       ,53423,163549,3.0613967766692247
13,MOD13A3_006__1_km_monthly_NDVI_doy2007032_aid0001,KARAULI,01/02/2007,6352,0.1271,0.7927,0.33842140000000004,0.14870870000000003,0.0221143,0.41725,0.701,0.2748,0.1271,0.2273,2007,KARAULI,Rabi       ,53423,163549,3.0613967766692247
14,MOD13A3_006__1_km_monthly_NDVI_doy2008001_aid0001,KARAULI,01/01/2008,6352,0.106,0.7954,0.3467375,0.1427382,0.020374200000000002,0.4354,0.743,0.29765,0.106,0.2299,2008,KARAULI,Rabi       ,56952,192121,3.373384604579295
15,MOD13A3_006__1_km_monthly_NDVI_doy2008032_aid0001,KARAULI,01/02/2008,6352,0.1492,0.7793,0.3307446,0.1472092,0.021670599999999998,0.41035,0.7027,0.2744,0.1492,0.2153,2008,KARAULI,Rabi       ,56952,192121,3.373384604579295
16,MOD13A3_006__1_km_monthly_NDVI_doy2009001_aid0001,KARAULI,01/01/2009,6352,0.1923,0.8009999999999999,0.4211901,0.1484561,0.0220392,0.5482,0.8009999999999999,0.3932,0.1923,0.2818,2009,KARAULI,Rabi       ,62737,228085,3.6355739037569537
17,MOD13A3_006__1_km_monthly_NDVI_doy2009032_aid0001,KARAULI,01/02/2009,6352,0.1729,0.7726,0.3679208,0.1267099,0.0160554,0.45845,0.7569,0.33625,0.1729,0.257275,2009,KARAULI,Rabi       ,62737,228085,3.6355739037569537
18,MOD13A3_006__1_km_monthly_NDVI_doy2010001_aid0001,KARAULI,01/01/2010,6352,0.1955,0.8237,0.4543589,0.155704,0.0242437,0.5836,0.8237,0.42935,0.1955,0.3141,2010,KARAULI,Rabi       ,73134,285650,3.9058440670549954
