,State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,AJMER, 2000-01,Rabi       ,34280,41829,1.220215869311552
1,AJMER, 2001-02,Rabi       ,41551,75770,1.8235421530167746
2,AJMER, 2002-03,Rabi       ,11244,23077,2.0523834934187124
3,AJMER, 2003-04,Rabi       ,21595,42225,1.9553137300300996
4,AJMER, 2004-05,Rabi       ,25457,52533,2.0635974388183995
5,AJMER, 2005-06,Rabi       ,23544,31307,1.3297230716955488
6,AJMER, 2006-07,Rabi       ,30011,84048,2.8005731231881645
7,AJMER, 2007-08,Rabi       ,21909,52373,2.3904787986672145
8,AJMER, 2008-09,Rabi       ,16605,37499,2.258295694068052
9,AJMER, 2009-10,Rabi       ,8761,21653,2.4715215158086976
10,AJMER, 2010-11,Rabi       ,64322,207905,3.2322533503311464
11,AJMER, 2011-12,Rabi       ,46550,146725,3.151987110633727
12,AJMER, 2012-13,Rabi       ,66027,219014,3.317036969724507
13,AJMER, 2013-14,Rabi       ,56000,193073,3.447732142857143
14,AJMER, 2014-15,Rabi       ,62442,131969,2.1134652957944975
15,AJMER, 2015-16,Rabi       ,42294,116787,2.761313661512271
16,AJMER, 2016-17,Rabi       ,55466,185014,3.3356290340028125
17,AJMER, 2017-18,Rabi       ,40328,128011,3.1742461813132317
18,AJMER, 2018-19,Rabi       ,34787,120782,3.472044154425504
19,ALWAR, 2000-01,Rabi       ,202992,724108,3.567175061086151
20,ALWAR, 2001-02,Rabi       ,174090,529816,3.0433453960595096
21,ALWAR, 2002-03,Rabi       ,181459,571450,3.1491962371665223
22,ALWAR, 2003-04,Rabi       ,188108,648794,3.449050545431348
23,ALWAR, 2004-05,Rabi       ,157411,511753,3.251062505161647
24,ALWAR, 2005-06,Rabi       ,159468,492657,3.0893784332906917
25,ALWAR, 2006-07,Rabi       ,180515,641964,3.55629172090962
26,ALWAR, 2007-08,Rabi       ,191440,669054,3.4948495612202257
27,ALWAR, 2008-09,Rabi       ,170172,688076,4.04341489786804
28,ALWAR, 2009-10,Rabi       ,192800,722874,3.749346473029046
29,ALWAR, 2010-11,Rabi       ,193992,816059,4.206663161367479
30,ALWAR, 2011-12,Rabi       ,185167,727380,3.9282377529473393
31,ALWAR, 2012-13,Rabi       ,204967,837412,4.085594266394103
32,ALWAR, 2013-14,Rabi       ,208206,825344,3.9640740420545035
33,ALWAR, 2014-15,Rabi       ,219063,757957,3.459995526401081
34,ALWAR, 2015-16,Rabi       ,213011,776427,3.6450089432001165
35,ALWAR, 2016-17,Rabi       ,215678,941457,4.365104461280242
36,ALWAR, 2017-18,Rabi       ,203829,875183,4.293711885943609
37,ALWAR, 2018-19,Rabi       ,192419,883624,4.592186842255702
38,BANSWARA, 2000-01,Rabi       ,35623,49590,1.392078151755888
39,BANSWARA, 2001-02,Rabi       ,55509,111895,2.0157992397629214
40,BANSWARA, 2002-03,Rabi       ,49390,73141,1.4808868191941689
41,BANSWARA, 2003-04,Rabi       ,69513,140615,2.0228590335620673
42,BANSWARA, 2004-05,Rabi       ,77545,160663,2.071867947643304
43,BANSWARA, 2005-06,Rabi       ,82190,162053,1.97168755323032
44,BANSWARA, 2006-07,Rabi       ,85835,160011,1.864169627774218
45,BANSWARA, 2007-08,Rabi       ,90801,183398,2.01977951784672
