,District,Year,January,February,March,October,November,December,Annual Total,Unnamed: 0,FNCount,FNMinimum,FNMaximum,FNMean,FNStandard Deviation,FNVariance,FNUpper Quartile,FNUpper 1.5 IQR,FNMedian,FNLower 1.5 IQR,FNLower Quartile,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),JNCount,JNMinimum,JNMaximum,JNMean,JNStandard Deviation,JNVariance,JNUpper Quartile,JNUpper 1.5 IQR,JNMedian,JNLower 1.5 IQR,JNLower Quartile,FECount,FEMinimum,FEMaximum,FEMean,FEStandard Deviation,FEVariance,FEUpper Quartile,FEUpper 1.5 IQR,FEMedian,FELower 1.5 IQR,FELower Quartile,JECount,JEMinimum,JEMaximum,JEMean,JEStandard Deviation,JEVariance,JEUpper Quartile,JEUpper 1.5 IQR,JEMedian,JELower 1.5 IQR,JELower Quartile
0,AJMER,2001,0.64,0.442,2.747,16.385,0.37,0.0,573.769,381,10552,0.055999999999999994,0.6957,0.23262979999999997,0.0607606,0.0036919000000000006,0.2473,0.3227,0.2183,0.1218,0.19699999999999998,Rabi       ,34280,41829,1.220215869,10552,0.0281,0.7074,0.2454369,0.061542099999999995,0.0037874000000000002,0.264,0.3478,0.2317,0.1253,0.2081,10552,0.0483,0.5323,0.1517493,0.0424866,0.0018050999999999998,0.161,0.2113,0.1411,0.0778,0.127375,10552,0.023,0.5256,0.1570831,0.0413023,0.0017059000000000002,0.1685,0.2232,0.1478,0.0811,0.132
1,AJMER,2002,0.441,2.167,0.562,0.261,5.453,10.399,155.712,383,10552,0.0533,0.809,0.25574050000000004,0.0750337,0.00563,0.27699999999999997,0.37799999999999995,0.2346,0.1092,0.2095,Rabi       ,41551,75770,1.8235421530000002,10552,0.0519,0.7659,0.2693583,0.0717477,0.0051477,0.293125,0.3969,0.2496,0.1225,0.2239,10552,0.0405,0.6173,0.16690660000000002,0.0515179,0.0026541,0.1785,0.2419,0.1521,0.0751,0.1362,10552,0.0429,0.5624,0.16734839999999998,0.0480495,0.0023088,0.1804,0.2443,0.1541,0.0753,0.1378
2,AJMER,2003,3.119944954128441,3.192862385321101,4.688596330275229,8.664449541284405,9.26677981651376,2.429605504587156,532.1873211009173,385,10552,0.0511,0.7070000000000001,0.1907063,0.046652,0.0021763999999999998,0.2052,0.2676,0.183,0.10400000000000001,0.1636,Rabi       ,11244,23077,2.0523834930000002,10552,0.052000000000000005,0.6592,0.205496,0.043957800000000005,0.0019323,0.221725,0.2861,0.1996,0.1156,0.1788,10552,0.0398,0.5266,0.1237848,0.0307116,0.0009432,0.1319,0.1689,0.1185,0.0702,0.1072,10552,0.0389,0.4619,0.12523,0.0273712,0.0007492000000000001,0.1339,0.1697,0.1209,0.0746,0.11
3,AJMER,2004,2.3,0.0,0.0,11.6,0.0,0.0,466.7,387,10552,0.0687,0.7391,0.2400303,0.0499901,0.002499,0.2553,0.3217,0.22935,0.147,0.2109,Rabi       ,21595,42225,1.95531373,10552,0.0331,0.7165,0.24980529999999998,0.0498651,0.0024865,0.2673,0.3394,0.2398,0.1473,0.2192,10552,0.0555,0.542,0.1542734,0.0337143,0.0011367,0.1635,0.2071,0.1472,0.0908,0.1344,10552,0.026000000000000002,0.5167,0.15967079999999997,0.0332584,0.0011061,0.1707,0.2179,0.1533,0.0922,0.1392
4,AJMER,2005,0.2,2.9,9.5,0.0,0.0,0.0,498.7,389,10551,-0.1762,0.7419,0.25090619999999997,0.07716310000000001,0.0059542,0.27245,0.376,0.2281,0.1017,0.2034,Rabi       ,25457,52533,2.063597439,10545,-0.1881,0.7016,0.26891859999999995,0.080042,0.0064066999999999995,0.2935,0.4062,0.2453,0.1078,0.2183,10551,-0.036000000000000004,0.5461,0.1580453,0.0495399,0.0024541999999999997,0.1688,0.2287,0.1434,0.0708,0.1288,10545,-0.0366,0.5034,0.1697229,0.0518002,0.0026833,0.1824,0.2482,0.1547,0.0732,0.1385
5,AJMER,2006,0.0,0.0,0.7,0.1,0.0,0.0,442.6,391,10552,-0.1272,0.7178,0.244088,0.0583172,0.0034009,0.2598,0.33299999999999996,0.2314,0.1382,0.2109,Rabi       ,23544,31307,1.329723072,10552,-0.0791,0.7225,0.264994,0.06632410000000001,0.0043989,0.2877,0.3823,0.2496,0.1335,0.2245,10552,-0.0201,0.5203,0.1583979,0.040701999999999995,0.0016567,0.1677,0.2158,0.1487,0.0876,0.1356,10552,-0.0137,0.5725,0.1699575,0.0443668,0.0019684,0.1826,0.2409,0.1591,0.0878,0.1437
6,AJMER,2007,0.4,10.6,4.5,0.0,0.0,1.8,377.6,393,10548,-0.1247,0.7845,0.2531788,0.0695135,0.004832100000000001,0.2753,0.3726,0.2377,0.1142,0.2104,Rabi       ,30011,84048,2.800573123,10548,-0.133,0.7075,0.2620107,0.0713265,0.0050875,0.2848,0.3862,0.2456,0.1161,0.2171,10548,-0.0286,0.5691,0.16482420000000003,0.0459743,0.0021135999999999998,0.17800000000000002,0.2393,0.1543,0.0759,0.1371,10548,-0.0278,0.5903,0.171955,0.048017699999999996,0.0023057,0.186825,0.2534,0.162,0.0772,0.1424
7,AJMER,2008,0.0,0.0,0.4,19.1,0.0,0.0,492.3000000000001,395,10552,-0.0069,0.7622,0.24065419999999998,0.0607044,0.0036850000000000003,0.251525,0.3175,0.2257,0.1415,0.2075,Rabi       ,21909,52373,2.3904787990000003,10552,0.0302,0.7369,0.2469373,0.060307000000000006,0.0036368999999999998,0.2593,0.3284,0.2323,0.1449,0.213175,10552,-0.0066,0.5635,0.15526679999999998,0.042307800000000007,0.00179,0.1617,0.2044,0.1447,0.0906,0.1332,10552,0.0137,0.5635,0.16031589999999998,0.040272699999999995,0.0016219000000000001,0.167525,0.2112,0.1509,0.0949,0.1384
8,AJMER,2009,0.1,0.0,1.3,0.4,5.0,0.0,253.6,397,10552,0.0386,0.6943,0.2297172,0.0518026,0.0026835,0.2418,0.3021,0.21899999999999997,0.1418,0.2016,Rabi       ,16605,37499,2.258295694,10552,0.0038,0.7307,0.2586396,0.0636337,0.004049199999999999,0.2775,0.3629,0.243,0.1397,0.2204,10552,0.03,0.5288,0.14866559999999998,0.0355685,0.0012651,0.1567,0.19699999999999998,0.1416,0.0902,0.1298,10552,0.0028,0.5396,0.16175250000000002,0.0427006,0.0018233000000000001,0.1738,0.22899999999999998,0.1517,0.0882,0.1369
9,AJMER,2010,0.5,1.1,0.4,0.6000000000000001,109.3,1.2,661.7,399,10552,-0.0103,0.7376,0.1994601,0.0459805,0.0021142,0.2115,0.2642,0.1921,0.1245,0.1762,Rabi       ,8761,21653,2.471521516,10552,-0.036000000000000004,0.7388,0.21775509999999998,0.0514947,0.0026517,0.2316,0.2936,0.2091,0.1289,0.1902,10552,-0.0095,0.5202,0.12215319999999999,0.029635200000000004,0.0008782,0.1276,0.1559,0.1172,0.0804,0.1087,10552,-0.0323,0.5215,0.13327160000000002,0.0336216,0.0011304,0.14,0.1743,0.1273,0.0829,0.1171
10,AJMER,2011,0.6,0.0,0.0,0.0,0.0,0.0,585.4,401,10552,-0.0375,0.8107,0.3642978,0.08980149999999999,0.0080643,0.4117,0.5761,0.35100000000000003,0.1386,0.302,Rabi       ,64322,207905,3.23225335,10551,-0.0922,0.7005,0.3290407,0.07009860000000001,0.0049138,0.36135,0.4777,0.3178,0.1692,0.2837,10552,-0.0129,0.6052,0.2253176,0.060255600000000006,0.0036306999999999993,0.2521,0.3536,0.2141,0.0832,0.1844,10551,-0.0204,0.4973,0.1894979,0.0446965,0.0019977999999999997,0.2074,0.2768,0.1804,0.0925,0.1611
11,AJMER,2012,1.0,11.1,0.0,0.2,0.0,0.0,602.5,403,10552,-0.1563,0.7027,0.30558090000000004,0.079055,0.0062497,0.336525,0.4638,0.2848,0.1262,0.2516,Rabi       ,46550,146725,3.1519871110000004,10552,-0.1081,0.7051,0.329651,0.0789625,0.0062351,0.363825,0.4965,0.3103,0.1475,0.2753,10552,-0.0276,0.5044,0.1993074,0.050584199999999996,0.0025588,0.215925,0.2896,0.18600000000000003,0.0948,0.1668,10552,-0.019,0.5814,0.2089741,0.0502926,0.0025293000000000004,0.2275,0.304,0.19699999999999998,0.1006,0.176475
12,AJMER,2013,3.7,2.0,2.1,11.2,1.5,0.0,565.3,405,10552,-0.098,0.7972,0.35936999999999997,0.09475639999999999,0.0089788,0.4099,0.5861,0.3413,0.1183,0.292375,Rabi       ,66027,219014,3.31703697,10551,-0.0239,0.7143,0.34291309999999997,0.0817967,0.0066907,0.3835,0.5296,0.3286,0.1405,0.2858,10552,-0.0156,0.5951,0.2414096,0.06788839999999999,0.0046088,0.2756,0.3981,0.2275,0.0735,0.1939,10551,-0.0177,0.564,0.21964679999999998,0.0569264,0.0032405999999999997,0.2428,0.3326,0.2079,0.0932,0.1829
13,AJMER,2014,12.4,0.0,49.6,0.1,0.0,0.0,584.8,407,10552,-0.1229,0.7855,0.4082823,0.11624560000000002,0.013512999999999999,0.490325,0.7501,0.3876,0.0607,0.3163,Rabi       ,56000,193073,3.447732143,10551,-0.0294,0.7468,0.3972458,0.1004268,0.0100855,0.4615,0.6679999999999999,0.3792,0.1158,0.3232,10552,-0.0158,0.5956,0.2607217,0.0872923,0.0076199,0.3165,0.5024,0.24445,0.0078,0.1923,10551,-0.0037,0.5787,0.2355814,0.0654044,0.0042777,0.2716,0.3964,0.2228,0.0638,0.18835
14,AJMER,2015,0.0,1.5,2.0,0.0,0.0,0.0,391.7,409,10552,-0.1926,0.7819,0.3451298,0.09740700000000001,0.0094881,0.3879,0.5502,0.321,0.1174,0.2794,Rabi       ,62442,131969,2.1134652959999998,10551,-0.1966,0.7228,0.3522815,0.09465789999999999,0.0089601,0.3923,0.5464,0.3302,0.139,0.2894,10552,-0.0273,0.5834,0.2157206,0.0676074,0.0045708,0.243425,0.3535,0.19685,0.061,0.17,10551,-0.0221,0.5423,0.21681140000000002,0.0642722,0.0041309,0.2397,0.336,0.2005,0.081,0.1755
15,AJMER,2016,8.5,8.8,0.0,62.8,0.0,0.0,651.9999999999999,411,10552,-0.024,0.7813,0.2990558,0.0957943,0.0091765,0.3155,0.4233,0.2695,0.138,0.243575,Rabi       ,42294,116787,2.761313662,10552,-0.1295,0.7508,0.3066142,0.0916883,0.008406799999999999,0.3249,0.4335,0.2791,0.1459,0.252475,10552,-0.0097,0.5669,0.1887719,0.0646944,0.0041854,0.199225,0.2705,0.1696,0.0812,0.1517,10552,-0.0208,0.6381,0.1976056,0.06719019999999999,0.0045145,0.207825,0.28,0.1782,0.0877,0.1596
16,AJMER,2017,0.0,0.0,0.0,0.0,0.0,1.7,490.6,413,10552,-0.1548,0.7778,0.36483720000000003,0.10898410000000001,0.011877500000000001,0.4304,0.6496,0.33399999999999996,0.067,0.284,Rabi       ,55466,185014,3.3356290339999997,10545,-0.16399999999999998,0.7697,0.3970261,0.1102952,0.012165,0.4626,0.6814,0.37,0.1014,0.3164,10552,-0.0201,0.5992,0.2239161,0.0690278,0.0047648000000000005,0.2602,0.3892,0.2045,0.0492,0.174,10545,-0.0244,0.599,0.2502778,0.07637769999999999,0.0058336,0.2879,0.4253,0.2297,0.0616,0.1962
17,AJMER,2018,3.15721320473614,3.201836430643771,4.867056378891241,8.781106406335764,8.725177605269348,2.298774406022112,533.4436352230846,415,10552,-0.0081,0.7783,0.2914723,0.0749858,0.0056229,0.3119,0.4095,0.2713,0.1522,0.2468,Rabi       ,40328,128011,3.1742461810000004,10552,0.0194,0.7766,0.32049590000000006,0.0820836,0.006737699999999999,0.3471,0.4627,0.2997,0.155,0.27,10552,-0.0077,0.6011,0.1870265,0.0524303,0.0027489,0.1989,0.2617,0.1738,0.0942,0.1569,10552,0.0188,0.5944,0.20185029999999998,0.0557668,0.0031099,0.2172,0.2895,0.18899999999999997,0.0967,0.16899999999999998
18,AJMER,2019,3.15721320473614,3.201836430643771,4.867056378891241,8.781106406335764,8.725177605269348,2.298774406022112,533.4436352230846,417,10552,-0.0172,0.7556,0.31311490000000003,0.0765642,0.0058621,0.344325,0.4676,0.2952,0.1412,0.262,Rabi       ,34787,120782,3.4720441539999998,10552,-0.0206,0.7233,0.32146220000000003,0.0757945,0.0057448,0.3522,0.4726,0.3043,0.1524,0.2719,10552,-0.0159,0.6038,0.2039015,0.0557832,0.0031118,0.2228,0.3042,0.1902,0.0875,0.168375,10552,-0.0199,0.5458,0.1964257,0.0496426,0.0024644000000000003,0.2115,0.2781,0.1858,0.1021,0.1671
19,ALWAR,2001,4.515,6.181,2.394,8.093,0.0,0.0,627.4359999999999,419,10187,0.1644,0.7831,0.49064189999999996,0.15875250000000002,0.0252024,0.6343,0.7831,0.5169,0.1644,0.33305,Rabi       ,202992,724108,3.5671750610000004,10187,0.1592,0.7829,0.4758188,0.1350652,0.018242599999999998,0.59,0.7829,0.4889,0.1592,0.3549,10187,0.0947,0.5886,0.32526309999999997,0.1276786,0.0163018,0.4395,0.5886,0.3413,0.0947,0.18995,10187,0.0894,0.6162,0.30053620000000003,0.10912069999999999,0.0119073,0.387,0.6162,0.3065,0.0894,0.1937
20,ALWAR,2002,5.742,9.841,1.003,0.433,1.842,10.849,285.373,421,10187,0.1551,0.7791,0.5015357,0.1623848,0.026368799999999998,0.6451,0.7791,0.5429999999999999,0.1551,0.33145,Rabi       ,174090,529816,3.0433453960000003,10187,0.1682,0.7298,0.4571151,0.13086489999999998,0.017125599999999998,0.56775,0.7298,0.4774,0.1682,0.32975,10187,0.0893,0.6532,0.345825,0.13657070000000002,0.018651499999999998,0.46665,0.6532,0.3754,0.0893,0.2009,10187,0.0566,0.6028,0.30089970000000005,0.10949339999999999,0.011988799999999999,0.38885,0.6028,0.312,0.0566,0.18875
21,ALWAR,2003,7.900954128440366,10.11765137614679,5.797981651376147,8.182862385321098,6.310256880733943,4.384211009174312,609.2589816513763,423,10187,0.1108,0.8079999999999999,0.5106314999999999,0.18797529999999998,0.0353347,0.6814,0.8079999999999999,0.5645,0.1108,0.3088,Rabi       ,181459,571450,3.149196237,10187,0.1004,0.7672,0.44713240000000004,0.1522164,0.023169799999999997,0.5804,0.7672,0.4567,0.1004,0.3048,10187,0.0542,0.6661,0.3496663,0.1610067,0.025923200000000004,0.496,0.6661,0.382,0.0542,0.1694,10187,0.0573,0.5633,0.2813064,0.1177134,0.013856499999999999,0.38205,0.5633,0.2812,0.0573,0.16505
22,ALWAR,2004,2.9,0.0,0.0,52.4,4.9,0.0,428.6,425,10187,0.0481,0.8048,0.5315181,0.1506067,0.022682400000000002,0.6609999999999999,0.8048,0.5715,0.0481,0.3944,Rabi       ,188108,648794,3.449050545,10187,0.1229,0.7563,0.5286513,0.1257922,0.0158237,0.6377,0.7563,0.5581,0.1229,0.4246,10187,0.0162,0.6056,0.3429567,0.12073679999999999,0.0145774,0.44315,0.6056,0.3718,0.0162,0.22415,10187,0.0402,0.6228,0.3451979,0.1120336,0.0125515,0.43755,0.6228,0.3614,0.0402,0.24085
23,ALWAR,2005,0.6000000000000001,10.1,21.3,0.0,0.0,0.0,685.6,427,10187,0.188,0.7909,0.5199963,0.1463918,0.021430599999999998,0.63775,0.7909,0.5602,0.188,0.38305,Rabi       ,157411,511753,3.251062505,10187,0.2106,0.7849,0.5392913,0.13722789999999999,0.0188315,0.65595,0.7849,0.5785,0.2106,0.4201,10187,0.0897,0.5923,0.35466859999999995,0.1205705,0.0145373,0.45695,0.5923,0.3864,0.0897,0.23465,10187,0.08,0.6111,0.3561031,0.11525430000000002,0.013283600000000001,0.4519,0.6111,0.3859,0.08,0.2444
24,ALWAR,2006,0.0,0.1,22.2,2.0,0.0,0.6000000000000001,448.0000000000001,429,10187,0.1908,0.777,0.4843223,0.1438094,0.0206812,0.607,0.777,0.5041,0.1908,0.3471,Rabi       ,159468,492657,3.0893784330000003,10187,0.1511,0.7799,0.5060747999999999,0.1336599,0.017865,0.61985,0.7799,0.524,0.1511,0.3886,10187,0.0939,0.5743,0.3236384,0.11528219999999999,0.01329,0.42285,0.5743,0.3374,0.0939,0.20615,10187,0.0554,0.6138,0.3275302,0.10979680000000001,0.0120553,0.4165,0.6138,0.33799999999999997,0.0554,0.2215
25,ALWAR,2007,0.5,50.0,43.3,0.0,0.0,2.3,557.1999999999999,431,10187,0.16899999999999998,0.8157,0.532758,0.1723094,0.029690499999999998,0.6885,0.8157,0.5792,0.16899999999999998,0.3548,Rabi       ,180515,641964,3.556291721,10187,0.1713,0.7919,0.5010909,0.14732479999999998,0.021704599999999998,0.62805,0.7919,0.5303,0.1713,0.36015,10187,0.0899,0.6458,0.34810009999999997,0.14023329999999998,0.019665400000000003,0.47345,0.6458,0.3773,0.0899,0.1976,10187,0.0982,0.6322,0.3362613,0.12167629999999999,0.014805100000000002,0.43835,0.6322,0.354,0.0982,0.2121
26,ALWAR,2008,0.0,0.0,0.0,0.0,0.0,0.0,880.9,433,10187,0.1715,0.7995,0.4888769,0.16128810000000002,0.026013799999999997,0.6351,0.7995,0.5192,0.1715,0.3246,Rabi       ,191440,669054,3.494849561,10187,0.1783,0.7809,0.48375959999999996,0.14313389999999998,0.0204873,0.6077,0.7809,0.5102,0.1783,0.34585,10187,0.0647,0.643,0.340254,0.1350627,0.018241900000000002,0.4607,0.643,0.3613,0.0647,0.19399999999999998,10187,0.0937,0.669,0.31717270000000003,0.1155154,0.0133438,0.4125,0.669,0.3333,0.0937,0.19835
27,ALWAR,2009,0.0,0.0,1.9,1.4,13.1,1.1,495.3,435,10187,0.1851,0.7928,0.5191992999999999,0.14412,0.0207706,0.6425,0.7928,0.5454,0.1851,0.3835,Rabi       ,170172,688076,4.043414898,10187,0.1931,0.7945,0.5477831,0.1325672,0.017574,0.6607,0.7945,0.583,0.1931,0.4303,10187,0.0782,0.5935,0.3427405,0.1177618,0.0138678,0.4414,0.5935,0.3616,0.0782,0.2251,10187,0.0713,0.605,0.35183600000000004,0.1113473,0.012398200000000002,0.4446,0.605,0.377,0.0713,0.24345
28,ALWAR,2010,5.1,8.3,1.8,3.5,36.7,6.7,820.5,437,10187,0.1699,0.7949,0.5339611999999999,0.16535450000000002,0.027342099999999998,0.6791,0.7949,0.5891,0.1699,0.36455,Rabi       ,192800,722874,3.749346473,10187,0.1869,0.7898,0.548981,0.14752,0.0217621,0.67865,0.7898,0.5924,0.1869,0.4142,10187,0.0709,0.5889,0.3452562,0.1322904,0.017500799999999997,0.4617,0.5889,0.3858,0.0709,0.20745,10187,0.0917,0.5995,0.3604945,0.1300419,0.0169109,0.47475,0.5995,0.3907,0.0917,0.22705
29,ALWAR,2011,1.4,0.0,0.0,0.0,0.0,0.0,762.8,439,10187,0.2216,0.8331,0.6044264,0.1378816,0.0190113,0.7183,0.8331,0.6551,0.2216,0.4852,Rabi       ,193992,816059,4.206663161,10187,0.2036,0.7793,0.5625609,0.10966860000000002,0.0120272,0.6521,0.7793,0.5907,0.2217,0.47955,10187,0.0676,0.6533,0.40245970000000003,0.1303586,0.016993400000000002,0.511,0.6533,0.4465,0.0676,0.2751,10187,0.0917,0.6121,0.35732129999999995,0.1025454,0.0105156,0.4417,0.6121,0.3815,0.0917,0.2615
